order_id,user_id,order_date,revenue,plan_type,is_refund
O538,538,2024-01-04,99.0,Pro,0
O543,543,2024-01-13,99.0,Pro,0
O554,554,2024-01-21,99.0,Pro,0
O560,560,2024-01-19,299.0,Enterprise,0
O562,562,2024-01-17,299.0,Enterprise,0
O567,567,2024-01-12,269.1,Enterprise,0
O577,577,2024-01-08,299.0,Enterprise,0
O581,581,2024-01-07,89.1,Pro,0
O586,586,2024-01-19,299.0,Enterprise,0
O588,588,2024-01-10,299.0,Enterprise,0
O604,604,2024-01-21,89.1,Pro,0
O605,605,2024-01-12,44.1,Basic,0
O607,607,2024-01-16,299.0,Enterprise,0
O614,614,2024-01-08,299.0,Enterprise,0
O621,621,2024-01-19,299.0,Enterprise,0
O622,622,2024-01-19,49.0,Basic,0
O627,627,2024-01-17,44.1,Basic,0
O638,638,2024-01-11,89.1,Pro,0
O657,657,2024-01-18,299.0,Enterprise,1
O663,663,2024-01-16,89.1,Pro,0
O680,680,2024-01-11,299.0,Enterprise,0
O692,692,2024-01-16,99.0,Pro,0
O695,695,2024-01-12,299.0,Enterprise,0
O698,698,2024-01-19,49.0,Basic,0
O700,700,2024-01-09,299.0,Enterprise,0
O702,702,2024-01-17,269.1,Enterprise,0
O703,703,2024-01-17,44.1,Basic,0
O706,706,2024-01-15,269.1,Enterprise,0
O711,711,2024-01-07,49.0,Basic,0
O721,721,2024-01-16,269.1,Enterprise,0
O724,724,2024-01-18,44.1,Basic,0
O729,729,2024-01-21,99.0,Pro,0
O734,734,2024-01-18,299.0,Enterprise,0
O735,735,2024-01-19,49.0,Basic,0
O736,736,2024-01-04,89.1,Pro,0
O743,743,2024-01-18,299.0,Enterprise,0
O745,745,2024-01-12,299.0,Enterprise,0
O746,746,2024-01-24,89.1,Pro,0
O752,752,2024-01-07,299.0,Enterprise,0
O754,754,2024-01-06,89.1,Pro,0
O756,756,2024-01-10,49.0,Basic,0
O762,762,2024-01-23,44.1,Basic,0
O767,767,2024-01-18,99.0,Pro,0
O769,769,2024-01-18,99.0,Pro,0
O770,770,2024-01-23,269.1,Enterprise,0
O772,772,2024-01-13,89.1,Pro,0
O777,777,2024-01-20,299.0,Enterprise,0
O779,779,2024-01-17,99.0,Pro,0
O780,780,2024-01-21,299.0,Enterprise,0
O803,803,2024-01-19,299.0,Enterprise,0
O808,808,2024-01-13,44.1,Basic,0
O815,815,2024-01-09,44.1,Basic,0
O820,820,2024-01-15,44.1,Basic,0
O828,828,2024-01-05,269.1,Enterprise,0
O831,831,2024-01-07,49.0,Basic,0
O834,834,2024-01-10,44.1,Basic,0
O838,838,2024-01-22,99.0,Pro,0
O847,847,2024-01-07,44.1,Basic,0
O851,851,2024-01-06,299.0,Enterprise,0
O865,865,2024-01-16,269.1,Enterprise,0
O868,868,2024-01-13,89.1,Pro,0
O869,869,2024-01-22,269.1,Enterprise,0
O870,870,2024-01-13,269.1,Enterprise,0
O871,871,2024-01-09,299.0,Enterprise,0
O880,880,2024-01-17,49.0,Basic,0
O889,889,2024-01-25,269.1,Enterprise,0
O892,892,2024-01-09,269.1,Enterprise,0
O900,900,2024-01-09,89.1,Pro,0
O903,903,2024-01-14,89.1,Pro,0
O906,906,2024-01-15,49.0,Basic,0
O917,917,2024-01-25,44.1,Basic,0
O932,932,2024-01-14,269.1,Enterprise,0
O953,953,2024-01-20,299.0,Enterprise,0
O954,954,2024-01-08,44.1,Basic,0
O976,976,2024-01-11,49.0,Basic,0
O995,995,2024-01-12,89.1,Pro,0
O1000,1000,2024-01-16,269.1,Enterprise,0
O1005,1005,2024-01-18,89.1,Pro,0
O1007,1007,2024-01-06,89.1,Pro,0
O1013,1013,2024-01-14,89.1,Pro,0
O1023,1023,2024-01-10,49.0,Basic,0
O1039,1039,2024-01-18,269.1,Enterprise,0
O1040,1040,2024-01-14,99.0,Pro,0
O1042,1042,2024-01-11,49.0,Basic,0
O1045,1045,2024-01-09,44.1,Basic,0
O1047,1047,2024-01-13,44.1,Basic,0
O1049,1049,2024-01-14,89.1,Pro,0
O1050,1050,2024-01-17,44.1,Basic,0
O1051,1051,2024-01-10,89.1,Pro,0
O1052,1052,2024-01-07,99.0,Pro,0
O1054,1054,2024-01-03,44.1,Basic,0
O1069,1069,2024-01-07,269.1,Enterprise,0
O1075,1075,2024-01-13,44.1,Basic,0
O1082,1082,2024-01-19,89.1,Pro,0
O1088,1088,2024-01-08,299.0,Enterprise,0
O1093,1093,2024-01-12,49.0,Basic,0
O1097,1097,2024-01-12,89.1,Pro,0
O1108,1108,2024-01-13,299.0,Enterprise,0
O1114,1114,2024-01-12,89.1,Pro,1
O1121,1121,2024-01-07,49.0,Basic,0
O1131,1131,2024-01-10,299.0,Enterprise,0
O1134,1134,2024-01-23,299.0,Enterprise,0
O1138,1138,2024-01-07,299.0,Enterprise,0
O1145,1145,2024-01-11,49.0,Basic,0
O1150,1150,2024-01-03,44.1,Basic,0
O1155,1155,2024-01-13,89.1,Pro,0
O1162,1162,2024-01-23,89.1,Pro,0
O1168,1168,2024-01-07,299.0,Enterprise,0
O1202,1202,2024-01-06,44.1,Basic,0
O1203,1203,2024-01-06,269.1,Enterprise,0
O1213,1213,2024-01-23,44.1,Basic,0
O1219,1219,2024-01-25,49.0,Basic,0
O1220,1220,2024-01-16,49.0,Basic,0
O1223,1223,2024-01-10,99.0,Pro,0
O1230,1230,2024-01-08,44.1,Basic,0
O1237,1237,2024-01-12,44.1,Basic,0
O1243,1243,2024-01-18,44.1,Basic,0
O1244,1244,2024-01-15,299.0,Enterprise,0
O1256,1256,2024-01-15,99.0,Pro,0
O1257,1257,2024-01-22,44.1,Basic,0
O1263,1263,2024-01-08,299.0,Enterprise,0
O1266,1266,2024-01-17,89.1,Pro,0
O1270,1270,2024-01-14,44.1,Basic,0
O1272,1272,2024-01-07,299.0,Enterprise,0
O1278,1278,2024-01-11,299.0,Enterprise,0
O1279,1279,2024-01-02,49.0,Basic,0
O1280,1280,2024-01-18,89.1,Pro,0
O1299,1299,2024-01-18,49.0,Basic,1
O1303,1303,2024-01-22,44.1,Basic,0
O1304,1304,2024-01-12,99.0,Pro,0
O1314,1314,2024-01-07,299.0,Enterprise,0
O1323,1323,2024-01-14,89.1,Pro,0
O1328,1328,2024-01-21,89.1,Pro,0
O1342,1342,2024-01-20,49.0,Basic,0
O1354,1354,2024-01-11,299.0,Enterprise,0
O1357,1357,2024-01-14,299.0,Enterprise,1
O1363,1363,2024-01-10,49.0,Basic,0
O1367,1367,2024-01-14,99.0,Pro,0
O1390,1390,2024-01-12,89.1,Pro,0
O1395,1395,2024-01-14,269.1,Enterprise,0
O1419,1419,2024-01-19,299.0,Enterprise,0
O1421,1421,2024-01-15,49.0,Basic,0
O1438,1438,2024-01-22,99.0,Pro,0
O1442,1442,2024-01-20,89.1,Pro,0
O1446,1446,2024-01-19,89.1,Pro,0
O1447,1447,2024-01-18,44.1,Basic,0
O1448,1448,2024-01-06,49.0,Basic,0
O1454,1454,2024-01-14,44.1,Basic,0
O1459,1459,2024-01-09,269.1,Enterprise,0
O1468,1468,2024-01-17,44.1,Basic,0
O1473,1473,2024-01-17,269.1,Enterprise,0
O1496,1496,2024-01-14,44.1,Basic,0
O1503,1503,2024-01-15,99.0,Pro,0
O1504,1504,2024-01-20,44.1,Basic,0
O1511,1511,2024-01-13,89.1,Pro,0
O1513,1513,2024-01-11,49.0,Basic,0
O1518,1518,2024-01-17,49.0,Basic,0
O1523,1523,2024-01-20,89.1,Pro,0
O1530,1530,2024-01-14,269.1,Enterprise,0
O1534,1534,2024-01-15,44.1,Basic,0
O1536,1536,2024-01-05,299.0,Enterprise,0
O1541,1541,2024-01-09,44.1,Basic,0
O1554,1554,2024-01-23,44.1,Basic,0
O1562,1562,2024-01-13,44.1,Basic,0
O1563,1563,2024-01-18,44.1,Basic,0
O1571,1571,2024-01-06,99.0,Pro,0
O1573,1573,2024-01-23,99.0,Pro,0
O1576,1576,2024-01-24,89.1,Pro,1
O1580,1580,2024-01-23,44.1,Basic,0
O1584,1584,2024-01-20,89.1,Pro,0
O1589,1589,2024-01-08,299.0,Enterprise,0
O1601,1601,2024-01-09,44.1,Basic,0
O1627,1627,2024-01-02,299.0,Enterprise,0
O1628,1628,2024-01-02,44.1,Basic,0
O1636,1636,2024-01-07,89.1,Pro,0
O1640,1640,2024-01-15,269.1,Enterprise,0
O1666,1666,2024-01-15,269.1,Enterprise,0
O1672,1672,2024-01-12,89.1,Pro,0
O1673,1673,2024-01-14,99.0,Pro,0
O1682,1682,2024-01-09,44.1,Basic,0
O1687,1687,2024-01-04,44.1,Basic,0
O1702,1702,2024-01-09,44.1,Basic,0
O1705,1705,2024-01-04,89.1,Pro,0
O1716,1716,2024-01-20,269.1,Enterprise,1
O1721,1721,2024-01-17,299.0,Enterprise,0
O1726,1726,2024-01-22,299.0,Enterprise,0
O1738,1738,2024-01-20,99.0,Pro,0
O1739,1739,2024-01-09,44.1,Basic,0
O1744,1744,2024-01-14,99.0,Pro,0
O1748,1748,2024-01-04,269.1,Enterprise,0
O1752,1752,2024-01-18,269.1,Enterprise,0
O1753,1753,2024-01-20,269.1,Enterprise,0
O1760,1760,2024-01-20,299.0,Enterprise,0
O1766,1766,2024-01-17,89.1,Pro,0
O1774,1774,2024-01-07,299.0,Enterprise,0
O1780,1780,2024-01-20,299.0,Enterprise,0
O1788,1788,2024-01-17,99.0,Pro,0
O1798,1798,2024-01-20,44.1,Basic,0
O1799,1799,2024-01-14,99.0,Pro,0
O1802,1802,2024-01-04,44.1,Basic,0
O1809,1809,2024-01-19,99.0,Pro,0
O1842,1842,2024-01-10,99.0,Pro,0
O1844,1844,2024-01-09,99.0,Pro,0
O1845,1845,2024-01-22,269.1,Enterprise,0
O1858,1858,2024-01-15,269.1,Enterprise,0
O1866,1866,2024-01-19,49.0,Basic,0
O1867,1867,2024-01-12,299.0,Enterprise,0
O1870,1870,2024-01-23,299.0,Enterprise,0
O1879,1879,2024-01-15,89.1,Pro,0
O1899,1899,2024-01-19,89.1,Pro,1
O1903,1903,2024-01-06,269.1,Enterprise,0
O1906,1906,2024-01-05,44.1,Basic,1
O1911,1911,2024-01-10,44.1,Basic,0
O1920,1920,2024-01-16,49.0,Basic,0
O1924,1924,2024-01-21,89.1,Pro,0
O1931,1931,2024-01-21,49.0,Basic,0
O1948,1948,2024-01-24,99.0,Pro,0
O1955,1955,2024-01-09,89.1,Pro,0
O1957,1957,2024-01-05,299.0,Enterprise,0
O1967,1967,2024-01-19,299.0,Enterprise,0
O1974,1974,2024-01-12,44.1,Basic,0
O1984,1984,2024-01-20,99.0,Pro,0
O1991,1991,2024-01-05,49.0,Basic,0
O1993,1993,2024-01-11,269.1,Enterprise,0
O1998,1998,2024-01-07,99.0,Pro,0
O2019,2019,2024-01-08,44.1,Basic,0
O2026,2026,2024-01-24,49.0,Basic,0
O2028,2028,2024-01-18,99.0,Pro,0
O2034,2034,2024-01-19,89.1,Pro,0
O2039,2039,2024-01-22,49.0,Basic,0
O2040,2040,2024-01-16,49.0,Basic,0
O2048,2048,2024-01-07,44.1,Basic,0
O2050,2050,2024-01-06,269.1,Enterprise,0
O2052,2052,2024-01-08,89.1,Pro,0
O2053,2053,2024-01-21,299.0,Enterprise,0
O2054,2054,2024-01-08,44.1,Basic,0
O2063,2063,2024-01-10,44.1,Basic,0
O2066,2066,2024-01-24,44.1,Basic,0
O2070,2070,2024-01-11,299.0,Enterprise,0
O2087,2087,2024-01-21,269.1,Enterprise,0
O2088,2088,2024-01-19,49.0,Basic,0
O2100,2100,2024-01-26,269.1,Enterprise,0
O2103,2103,2024-01-14,89.1,Pro,0
O2105,2105,2024-01-20,49.0,Basic,0
O2109,2109,2024-01-20,269.1,Enterprise,0
O2115,2115,2024-01-10,269.1,Enterprise,0
O2124,2124,2024-01-17,44.1,Basic,0
O2127,2127,2024-01-11,269.1,Enterprise,0
O2130,2130,2024-01-13,89.1,Pro,0
O2139,2139,2024-01-13,44.1,Basic,0
O2140,2140,2024-01-18,89.1,Pro,0
O2151,2151,2024-01-09,299.0,Enterprise,0
O2157,2157,2024-01-10,269.1,Enterprise,0
O2171,2171,2024-01-09,99.0,Pro,0
O2177,2177,2024-01-13,269.1,Enterprise,0
O2199,2199,2024-01-15,299.0,Enterprise,0
O2203,2203,2024-01-05,269.1,Enterprise,0
O2207,2207,2024-01-07,89.1,Pro,0
O2211,2211,2024-01-04,99.0,Pro,0
O2231,2231,2024-01-21,44.1,Basic,0
O2237,2237,2024-01-19,269.1,Enterprise,0
O2240,2240,2024-01-25,49.0,Basic,0
O2245,2245,2024-01-25,99.0,Pro,0
O2254,2254,2024-01-12,299.0,Enterprise,0
O2260,2260,2024-01-15,269.1,Enterprise,0
O2265,2265,2024-01-07,89.1,Pro,0
O2272,2272,2024-01-09,99.0,Pro,0
O2275,2275,2024-01-15,299.0,Enterprise,0
O2284,2284,2024-01-18,269.1,Enterprise,0
O2285,2285,2024-01-17,269.1,Enterprise,0
O2298,2298,2024-01-17,44.1,Basic,0
O2302,2302,2024-01-24,99.0,Pro,0
O2305,2305,2024-01-17,44.1,Basic,0
O2313,2313,2024-01-21,49.0,Basic,0
O2314,2314,2024-01-17,89.1,Pro,0
O2317,2317,2024-01-24,89.1,Pro,0
O2323,2323,2024-01-18,49.0,Basic,0
O2324,2324,2024-01-20,99.0,Pro,0
O2327,2327,2024-01-10,269.1,Enterprise,0
O2331,2331,2024-01-06,44.1,Basic,0
O2336,2336,2024-01-23,269.1,Enterprise,0
O2339,2339,2024-01-07,269.1,Enterprise,0
O2343,2343,2024-01-07,99.0,Pro,0
O2353,2353,2024-01-11,299.0,Enterprise,0
O2354,2354,2024-01-21,49.0,Basic,0
O2355,2355,2024-01-11,269.1,Enterprise,0
O2368,2368,2024-01-18,269.1,Enterprise,0
O2370,2370,2024-01-11,99.0,Pro,0
O2372,2372,2024-01-14,49.0,Basic,0
O2378,2378,2024-01-20,44.1,Basic,0
O2385,2385,2024-01-20,49.0,Basic,0
O2389,2389,2024-01-12,299.0,Enterprise,0
O2391,2391,2024-01-19,299.0,Enterprise,0
O2396,2396,2024-01-19,44.1,Basic,0
O2411,2411,2024-01-10,44.1,Basic,0
O2414,2414,2024-01-10,89.1,Pro,0
O2422,2422,2024-01-20,89.1,Pro,0
O2445,2445,2024-01-24,49.0,Basic,0
O2446,2446,2024-01-15,299.0,Enterprise,0
O2447,2447,2024-01-16,269.1,Enterprise,0
O2451,2451,2024-01-12,89.1,Pro,0
O2477,2477,2024-01-07,99.0,Pro,0
O2484,2484,2024-01-19,44.1,Basic,0
O2486,2486,2024-01-08,99.0,Pro,0
O2487,2487,2024-01-23,269.1,Enterprise,0
O2490,2490,2024-01-11,89.1,Pro,0
O2500,2500,2024-01-09,269.1,Enterprise,0
O2511,2511,2024-01-20,299.0,Enterprise,0
O2513,2513,2024-01-13,99.0,Pro,0
O2527,2527,2024-01-17,89.1,Pro,0
O2530,2530,2024-01-18,299.0,Enterprise,0
O2548,2548,2024-01-05,49.0,Basic,0
O2551,2551,2024-01-15,269.1,Enterprise,0
O2560,2560,2024-01-16,44.1,Basic,0
O2562,2562,2024-01-08,49.0,Basic,1
O2584,2584,2024-01-11,44.1,Basic,0
O2592,2592,2024-01-21,269.1,Enterprise,0
O2596,2596,2024-01-14,49.0,Basic,0
O2603,2603,2024-01-15,299.0,Enterprise,0
O2609,2609,2024-01-16,269.1,Enterprise,0
O2610,2610,2024-01-21,269.1,Enterprise,0
O2614,2614,2024-01-18,299.0,Enterprise,0
O2619,2619,2024-01-09,269.1,Enterprise,0
O2622,2622,2024-01-04,269.1,Enterprise,0
O2631,2631,2024-01-20,299.0,Enterprise,0
O2643,2643,2024-01-04,44.1,Basic,0
O2650,2650,2024-01-10,99.0,Pro,0
O2653,2653,2024-01-06,299.0,Enterprise,0
O2654,2654,2024-01-15,49.0,Basic,0
O2666,2666,2024-01-12,49.0,Basic,0
O2668,2668,2024-01-09,269.1,Enterprise,0
O2670,2670,2024-01-02,269.1,Enterprise,0
O2680,2680,2024-01-11,49.0,Basic,0
O2683,2683,2024-01-05,49.0,Basic,0
O2695,2695,2024-01-16,299.0,Enterprise,0
O2699,2699,2024-01-08,99.0,Pro,0
O2700,2700,2024-01-10,49.0,Basic,0
O2703,2703,2024-01-10,299.0,Enterprise,0
O2708,2708,2024-01-19,269.1,Enterprise,0
O2710,2710,2024-01-11,49.0,Basic,0
O2726,2726,2024-01-08,299.0,Enterprise,0
O2729,2729,2024-01-06,299.0,Enterprise,0
O2736,2736,2024-01-12,89.1,Pro,0
O2753,2753,2024-01-08,299.0,Enterprise,0
O2760,2760,2024-01-10,49.0,Basic,0
O2761,2761,2024-01-08,89.1,Pro,0
O2764,2764,2024-01-21,269.1,Enterprise,0
O2777,2777,2024-01-05,49.0,Basic,0
O2780,2780,2024-01-23,44.1,Basic,0
O2794,2794,2024-01-09,89.1,Pro,0
O2795,2795,2024-01-13,269.1,Enterprise,0
O2797,2797,2024-01-10,49.0,Basic,0
O2803,2803,2024-01-19,269.1,Enterprise,0
O2805,2805,2024-01-19,89.1,Pro,0
O2810,2810,2024-01-19,49.0,Basic,0
O2819,2819,2024-01-23,269.1,Enterprise,0
O2821,2821,2024-01-08,44.1,Basic,0
O2823,2823,2024-01-12,299.0,Enterprise,0
O2846,2846,2024-01-06,269.1,Enterprise,0
O2848,2848,2024-01-21,44.1,Basic,0
O2850,2850,2024-01-13,299.0,Enterprise,0
O2868,2868,2024-01-17,269.1,Enterprise,0
O2870,2870,2024-01-16,89.1,Pro,1
O2880,2880,2024-01-25,269.1,Enterprise,0
O2887,2887,2024-01-14,99.0,Pro,0
O2896,2896,2024-01-10,49.0,Basic,0
O2908,2908,2024-01-09,269.1,Enterprise,0
O2914,2914,2024-01-04,44.1,Basic,0
O2918,2918,2024-01-22,269.1,Enterprise,0
O2928,2928,2024-01-21,99.0,Pro,0
O2932,2932,2024-01-19,299.0,Enterprise,0
O2933,2933,2024-01-05,269.1,Enterprise,0
O2936,2936,2024-01-18,269.1,Enterprise,0
O2938,2938,2024-01-16,99.0,Pro,0
O2939,2939,2024-01-21,49.0,Basic,0
O2949,2949,2024-01-04,44.1,Basic,0
O2954,2954,2024-01-23,99.0,Pro,0
O2968,2968,2024-01-05,269.1,Enterprise,0
O2972,2972,2024-01-07,49.0,Basic,1
O2991,2991,2024-01-15,44.1,Basic,0
O3005,3005,2024-01-06,99.0,Pro,0
O3006,3006,2024-01-20,99.0,Pro,0
O3010,3010,2024-01-19,269.1,Enterprise,0
O3017,3017,2024-01-16,49.0,Basic,0
O3019,3019,2024-01-16,299.0,Enterprise,0
O3022,3022,2024-01-14,99.0,Pro,0
O3027,3027,2024-01-20,44.1,Basic,0
O3028,3028,2024-01-17,44.1,Basic,0
O3032,3032,2024-01-09,49.0,Basic,0
O3034,3034,2024-01-05,299.0,Enterprise,0
O3037,3037,2024-01-08,49.0,Basic,0
O3041,3041,2024-01-15,44.1,Basic,0
O3042,3042,2024-01-18,89.1,Pro,0
O3045,3045,2024-01-14,89.1,Pro,0
O3047,3047,2024-01-10,44.1,Basic,1
O3052,3052,2024-01-16,99.0,Pro,1
O3060,3060,2024-01-22,89.1,Pro,0
O3078,3078,2024-01-23,269.1,Enterprise,0
O3081,3081,2024-01-09,89.1,Pro,0
O3098,3098,2024-01-09,89.1,Pro,1
O3103,3103,2024-01-21,49.0,Basic,0
O3108,3108,2024-01-16,299.0,Enterprise,0
O3109,3109,2024-01-21,269.1,Enterprise,0
O3121,3121,2024-01-10,44.1,Basic,0
O3128,3128,2024-01-12,44.1,Basic,0
O3138,3138,2024-01-16,269.1,Enterprise,0
O3139,3139,2024-01-19,269.1,Enterprise,0
O3142,3142,2024-01-07,299.0,Enterprise,0
O3144,3144,2024-01-22,299.0,Enterprise,0
O3148,3148,2024-01-18,299.0,Enterprise,0
O3159,3159,2024-01-07,44.1,Basic,0
O3168,3168,2024-01-24,44.1,Basic,0
O3172,3172,2024-01-17,49.0,Basic,0
O3178,3178,2024-01-07,49.0,Basic,1
O3179,3179,2024-01-12,49.0,Basic,0
O3180,3180,2024-01-09,44.1,Basic,0
O3181,3181,2024-01-12,89.1,Pro,0
O3203,3203,2024-01-12,89.1,Pro,0
O3216,3216,2024-01-19,89.1,Pro,0
O3222,3222,2024-01-08,299.0,Enterprise,0
O3223,3223,2024-01-24,49.0,Basic,0
O3242,3242,2024-01-08,44.1,Basic,0
O3246,3246,2024-01-16,99.0,Pro,0
O3258,3258,2024-01-10,44.1,Basic,0
O3261,3261,2024-01-05,89.1,Pro,0
O3264,3264,2024-01-19,99.0,Pro,0
O3278,3278,2024-01-19,49.0,Basic,0
O3283,3283,2024-01-22,299.0,Enterprise,0
O3293,3293,2024-01-20,269.1,Enterprise,0
O3297,3297,2024-01-12,44.1,Basic,0
O3301,3301,2024-01-25,89.1,Pro,0
O3306,3306,2024-01-15,269.1,Enterprise,0
O3311,3311,2024-01-22,269.1,Enterprise,0
O3329,3329,2024-01-04,89.1,Pro,0
O3335,3335,2024-01-15,299.0,Enterprise,0
O3354,3354,2024-01-17,89.1,Pro,1
O3355,3355,2024-01-09,299.0,Enterprise,0
O3364,3364,2024-01-03,89.1,Pro,0
O3369,3369,2024-01-23,49.0,Basic,0
O3377,3377,2024-01-10,89.1,Pro,0
O3379,3379,2024-01-07,99.0,Pro,0
O3383,3383,2024-01-18,269.1,Enterprise,0
O3385,3385,2024-01-11,99.0,Pro,0
O3393,3393,2024-01-20,89.1,Pro,0
O3394,3394,2024-01-07,269.1,Enterprise,0
O3407,3407,2024-01-21,49.0,Basic,0
O3415,3415,2024-01-24,299.0,Enterprise,0
O3433,3433,2024-01-16,44.1,Basic,0
O3440,3440,2024-01-21,299.0,Enterprise,0
O3452,3452,2024-01-14,49.0,Basic,0
O3462,3462,2024-01-15,49.0,Basic,1
O3472,3472,2024-01-14,99.0,Pro,0
O3476,3476,2024-01-17,44.1,Basic,0
O3484,3484,2024-01-13,89.1,Pro,0
O3493,3493,2024-01-12,49.0,Basic,0
O3496,3496,2024-01-23,299.0,Enterprise,0
O3501,3501,2024-01-07,49.0,Basic,0
O3521,3521,2024-01-12,44.1,Basic,0
O3527,3527,2024-01-06,49.0,Basic,0
O3532,3532,2024-01-25,49.0,Basic,0
O3546,3546,2024-01-14,49.0,Basic,0
O3547,3547,2024-01-20,89.1,Pro,0
O3548,3548,2024-01-10,49.0,Basic,0
O3553,3553,2024-01-19,89.1,Pro,0
O3554,3554,2024-01-23,89.1,Pro,0
O3583,3583,2024-01-18,269.1,Enterprise,0
O3593,3593,2024-01-07,89.1,Pro,0
O3597,3597,2024-01-17,269.1,Enterprise,0
O3599,3599,2024-01-20,49.0,Basic,0
O3622,3622,2024-01-11,99.0,Pro,0
O3627,3627,2024-01-23,49.0,Basic,0
O3629,3629,2024-01-17,99.0,Pro,0
O3644,3644,2024-01-14,299.0,Enterprise,0
O3646,3646,2024-01-18,49.0,Basic,0
O3648,3648,2024-01-13,269.1,Enterprise,0
O3653,3653,2024-01-12,99.0,Pro,0
O3656,3656,2024-01-10,89.1,Pro,0
O3668,3668,2024-01-12,44.1,Basic,0
O3672,3672,2024-01-21,99.0,Pro,0
O3681,3681,2024-01-13,89.1,Pro,0
O3682,3682,2024-01-06,44.1,Basic,0
O3691,3691,2024-01-11,44.1,Basic,0
O3701,3701,2024-01-16,44.1,Basic,0
O3709,3709,2024-01-10,299.0,Enterprise,1
O3715,3715,2024-01-10,299.0,Enterprise,0
O3721,3721,2024-01-12,299.0,Enterprise,0
O3727,3727,2024-01-10,49.0,Basic,0
O3730,3730,2024-01-05,269.1,Enterprise,0
O3734,3734,2024-01-11,269.1,Enterprise,0
O3741,3741,2024-01-12,44.1,Basic,0
O3751,3751,2024-01-14,89.1,Pro,1
O3760,3760,2024-01-14,269.1,Enterprise,0
O3765,3765,2024-01-07,89.1,Pro,0
O3767,3767,2024-01-03,44.1,Basic,0
O3769,3769,2024-01-13,49.0,Basic,0
O3773,3773,2024-01-20,49.0,Basic,0
O3774,3774,2024-01-09,89.1,Pro,0
O3776,3776,2024-01-23,269.1,Enterprise,0
O3778,3778,2024-01-14,99.0,Pro,0
